wbs,task_title,task_owner,category,phase,status,budget_original,budget_change,budget_revised,spend,remaining,forecast,variance,src_row
3.7,Annexed information / Answer Questions,DEHC / Blake,Setena D1,ENGINEERING,Approved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62
3.8,SETENA Final review,Blake,Setena D1,GOV,Approved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63
3.9,SETENA (VA) Approval,DEHC / Blake,Setena D1,ENGINEERING,Approved,1457.6999999999998,0.0,1457.6999999999998,0.0,1457.6999999999998,1457.6999999999998,0.0,64
3.101,Treatment Plant,Treatment Plant Eng.,Setena D1,GOV,Approved,50000.0,0.0,50000.0,0.0,50000.0,50000.0,0.0,65
3.11,Superficial infiltration test,Complete,Setena D1,GOV,Approved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66
4,Water,,,,,,,,,,,,68
4.1,Water Source Strategy,Blake,Setena D1,WATER,Approved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69
4.2.1,Water Department Negotiations,Blake,Setena D1,WATER,Approved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
4.2.2,Water Department Installation (We pay and Donate),Sierra,Setena D1,WATER,Approved,50000.0,0.0,50000.0,0.0,50000.0,50000.0,0.0,71
4.2.3,Water Department System Installation,Aguatech,Setena D1,WATER,Approved,150000.0,0.0,150000.0,0.0,150000.0,150000.0,0.0,72
4.3,Spring Concession (Based on Strategy),Blake,Setena D1,WATER,Approved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
4.4,Deep Well Concession / Casing  x 2 Wells,PV Drilling,Setena D1,WATER,In process,126227.0,0.0,126227.0,0.0,126227.0,0.0,-126227.0,74
5,Concessions,,,,,,,,,,,,76
5.1,"Preliminar Study for PNE applications in ACOSA, SINAC, and Muni",Eduardo,Concessions,SETENA Regional Review,In process,0.0,5000.0,5000.0,0.0,5000.0,5000.0,0.0,77
