id,wbs,week_start,planned_amount,is_painted,fill_rgb,src_col
359,1,2026-03-02,,1,FFCCCCCC,CN
360,1,2026-03-09,,1,FFCCCCCC,CO
361,1,2026-03-16,,1,FFCCCCCC,CP
362,1,2026-03-23,,1,FFCCCCCC,CQ
363,1,2026-03-30,,1,FFCCCCCC,CR
364,1,2026-04-06,,1,FFCCCCCC,CS
365,1,2026-04-13,,1,FFCCCCCC,CT
366,1,2026-04-20,,1,FFCCCCCC,CU
367,1,2026-04-27,,1,FFCCCCCC,CV
368,1,2026-05-04,,1,FFCCCCCC,CW
369,1,2026-05-11,,1,FFCCCCCC,CY
370,1,2026-05-18,,1,FFCCCCCC,CZ
371,1,2026-05-25,,1,FFCCCCCC,DA
372,1,2026-06-01,,1,FFCCCCCC,DC
373,1,2026-06-08,,1,FFCCCCCC,DD
374,1,2026-06-15,,1,FFCCCCCC,DE
375,1,2026-06-22,,1,FFCCCCCC,DF
376,1,2026-06-29,,1,FFCCCCCC,DG
377,1,2026-07-06,,1,FFCCCCCC,DH
378,1,2026-07-13,,1,FFCCCCCC,DI
379,1,2026-07-20,,1,FFCCCCCC,DJ
380,1,2026-07-27,,1,FFCCCCCC,DK
381,1,2026-08-03,,1,FFCCCCCC,DM
382,1,2026-08-10,,1,FFCCCCCC,DN
383,1,2026-08-17,,1,FFCCCCCC,DO
384,1,2026-08-24,,1,FFCCCCCC,DP
385,1,2026-08-31,,1,FFCCCCCC,DQ
386,1,2026-09-07,,1,FFCCCCCC,DR
387,1,2026-09-14,,1,FFCCCCCC,DS
388,1,2026-09-21,,1,FFCCCCCC,DT
389,1,2026-09-28,,1,FFCCCCCC,DU
390,1,2026-10-05,,1,FFCCCCCC,DW
391,1,2026-10-12,,1,FFCCCCCC,DX
392,1,2026-10-19,,1,FFCCCCCC,DY
393,1,2026-10-26,,1,FFCCCCCC,DZ
394,1,2026-11-02,,1,FFCCCCCC,EB
395,1,2026-11-09,,1,FFCCCCCC,EC
396,1,2026-11-16,,1,FFCCCCCC,ED
397,1,2026-11-23,,1,FFCCCCCC,EE
398,1,2026-11-30,,1,FFCCCCCC,EF
399,1,2026-12-07,,1,FFCCCCCC,EG
400,1,2026-12-14,,1,FFCCCCCC,EH
401,1,2026-12-21,,1,FFCCCCCC,EI
402,1,2026-12-28,,1,FFCCCCCC,EJ
403,1,2027-01-04,,1,FFCCCCCC,EK
404,1,2027-01-11,,1,FFCCCCCC,EL
405,1,2027-01-18,,1,FFCCCCCC,EM
406,1,2027-01-25,,1,FFCCCCCC,EN
407,1,2027-02-01,,1,FFCCCCCC,EO
408,1,2027-02-08,,1,FFCCCCCC,EP
409,1,2027-02-15,,1,FFCCCCCC,EQ
410,1,2027-02-22,,1,FFCCCCCC,ER
411,1,2027-03-01,,1,FFCCCCCC,ES
412,1,2027-03-08,,1,FFCCCCCC,ET
413,1,2027-03-15,,1,FFCCCCCC,EU
414,1,2027-03-22,,1,FFCCCCCC,EV
415,1,2027-03-29,,1,FFCCCCCC,EW
416,1,2027-04-05,,1,FFCCCCCC,EX
417,1,2027-04-12,,1,FFCCCCCC,EY
418,1,2027-04-19,,1,FFCCCCCC,EZ
419,1,2027-04-26,,1,FFCCCCCC,FA
420,1,2027-05-03,,1,FFCCCCCC,FB
421,1,2027-05-10,,1,FFCCCCCC,FC
422,1,2027-05-17,,1,FFCCCCCC,FD
423,1,2027-05-24,,1,FFCCCCCC,FE
424,1,2027-05-31,,1,FFCCCCCC,FF
425,1,2027-06-07,,1,FFFFF5B4,FG
426,1,2027-06-14,,1,FFCCCCCC,FH
427,1,2027-06-21,,1,FFCCCCCC,FI
428,1,2027-06-28,,1,FFCCCCCC,FJ
429,1,2027-07-05,,1,FFCCCCCC,FK
430,1,2027-07-12,,1,FFCCCCCC,FL
431,1,2027-07-19,,1,FFCCCCCC,FM
432,1,2027-07-26,,1,FFCCCCCC,FN
433,1,2027-08-02,,1,FFCCCCCC,FO
434,1,2027-08-09,,1,FFCCCCCC,FP
435,1,2027-08-16,,1,FFCCCCCC,FQ
436,1,2027-08-23,,1,FFCCCCCC,FR
437,1,2027-08-30,,1,FFCCCCCC,FS
438,1,2027-09-06,,1,FFCCCCCC,FT
439,1,2027-09-13,,1,FFCCCCCC,FU
440,1,2027-09-20,,1,FFCCCCCC,FV
441,1,2027-09-27,,1,FFCCCCCC,FW
442,1,2027-10-04,,1,FFCCCCCC,FX
443,1,2027-10-11,,1,FFCCCCCC,FY
444,1,2027-10-18,,1,FFCCCCCC,FZ
445,1,2027-10-25,,1,FFCCCCCC,GA
446,1,2027-11-01,,1,FFCCCCCC,GB
447,1,2027-11-08,,1,FFCCCCCC,GC
448,1,2027-11-15,,1,FFCCCCCC,GD
449,1,2027-11-22,,1,FFCCCCCC,GE
450,1,2027-11-29,,1,FFCCCCCC,GF
451,1,2027-12-06,,1,FFCCCCCC,GG
452,1,2027-12-13,,1,FFCCCCCC,GH
